+--------------+------------------------------------------------------------+---------------------+------------+------------+------------+
|     Verb     |                          context                           |        synset       | Polarity + | Polarity - | Polarity = |
+--------------+------------------------------------------------------------+---------------------+------------+------------+------------+
|    haber     |         ... sin embargo hay personas alérgicas ...         |       be.v.03       |    0.0     |    0.0     |    1.0     |
|    poder     |          ... caso , podrían ofrecer porciones ...          |    displace.v.03    |    0.0     |    0.0     |    1.0     |
|   ofrecer    |          ... , podrían ofrecer porciones como ...          |      offer.v.02     |    0.0     |    0.0     |    1.0     |
|   ofrecer    |         ... servicio , ofrecer comida vegetariana          |      offer.v.02     |    0.0     |    0.0     |    1.0     |
|   sugerir    |                        el café ...                         |      hint.v.01      |    0.5     |    0.0     |    0.5     |
|     ser      |               ... un café es negro como ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     ser      |                        un lindo ...                        |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    haber     |             ... lugar , hay que mantenerlo ...             |       be.v.03       |    0.0     |    0.0     |    1.0     |
|     sea      |                la encuesta sea al final ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    estar     |             ... cuando recién estoy iniciando              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   iniciar    |                 ... recién estoy iniciando                 |    get_down.v.07    |    0.0     |    0.0     |    1.0     |
|   prestar    |             ... que más prestó el capitán ...              |      give.v.10      |    0.0     |    0.0     |    1.0     |
|   mejorar    |                   se mejore el menú ...                    |     better.v.02     |   0.375    |    0.0     |   0.625    |
|    poder     |         ... del desayuno pueden incluir otras ...          |    displace.v.03    |    0.0     |    0.0     |    1.0     |
|   incluir    |       ... desayuno pueden incluir otras opciones ...       |     include.v.01    |    0.0     |    0.0     |    1.0     |
|   mejorar    |            ... que se mejoren las porciones ...            |     better.v.02     |   0.375    |    0.0     |   0.625    |
|     ser      |               ... los precios son muy altos                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     ser      |                 servicio es bueno pero ...                 |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   demorar    |                   ... pero muy demorado                    |    postpone.v.01    |    0.0     |    0.0     |    1.0     |
|    poder     |                       mejorar la ...                       |    displace.v.03    |    0.0     |    0.0     |    1.0     |
|   mejorar    |                    mejorar la carta ...                    |     better.v.02     |   0.375    |    0.0     |   0.625    |
|   ofrecer    |              ... precios y ofrecer más y ...               |      offer.v.02     |    0.0     |    0.0     |    1.0     |
|   ofrecer    |         ... caseras no ofrecer arepas industriales         |      offer.v.02     |    0.0     |    0.0     |    1.0     |
|     ser      |              único comentario es que los ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   parecer    |         ... los patacones parecen refritos es ...          |      look.v.02      |    0.0     |    0.0     |    1.0     |
|     ser      |            ... parecen refritos es decir ya ...            |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    decir     |            ... refritos es decir ya estaban ...            |      talk.v.02      |    0.0     |    0.0     |    1.0     |
|    estar     |             ... decir ya estaban freídos y ...             |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    freír     |             ... ya estaban freídos y luego ...             |       fry.v.02      |    0.0     |    0.0     |    1.0     |
|   suceder    |        ... nuevamente igual sucede en termales ...         |     happen.v.01     |    0.0     |    0.0     |    1.0     |
|    variar    |                        el menú ...                         |     change.v.01     |    0.0     |    0.0     |    1.0     |
|   mejorar    |            ... del desayuno mejorar el jugo ...            |     better.v.02     |   0.375    |    0.0     |   0.625    |
|     ser      |                  ... de naranja es amargo                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   parecer    |              hotel me parece agradable lo ...              |      look.v.02      |    0.0     |    0.0     |    1.0     |
|     ser      |              ... único incómodo es que la ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    tener     |             ... precio que tiene no tengan ...             |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|    tener     |              ... tiene no tengan ducha en ...              |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     toca     |             ... lo tanto toca escoger una ...              |      refer.v.02     |    0.0     |    0.0     |    1.0     |
|   escoger    |             ... tanto toca escoger una más ...             |     choose.v.01     |    0.0     |    0.0     |    1.0     |
|     debe     |                    debe cambiar las ...                    |       owe.v.01      |    0.0     |    0.0     |    1.0     |
|   cambiar    |                debe cambiar las duchas ...                 |     change.v.01     |    0.0     |    0.0     |    1.0     |
|     ser      |              ... el chorro es muy fuerte ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     ser      |             ... y no es agradable bañarse ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|              |                ... es agradable bañarse ahí                |      bathe.v.03     |    0.0     |    0.0     |    1.0     |
|  continuar   |                      siempre con ...                       |    continue.v.03    |    0.0     |    0.0     |    1.0     |
|    sentir    |              nos sentimos bien atendidos ...               |    perceive.v.01    |   0.375    |    0.0     |   0.625    |
|   atender    |         ... sentimos bien atendidos felicitaciones         |      serve.v.10     |    0.0     |    0.0     |    1.0     |
|     ser      |             ... del hotel son muy atentos ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    tener     |            ... y solo tengo una observación ...            |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|    estar     |            ... del restaurante está en mal ...             |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    haber     |             ... estado y hay que restaurar ...             |       be.v.03       |    0.0     |    0.0     |    1.0     |
|  restaurar   |           ... hay que restaurar para mejorar ...           |     repair.v.01     |    0.0     |   0.125    |   0.875    |
|   mejorar    |            ... restaurar para mejorar ambiente             |     better.v.02     |   0.375    |    0.0     |   0.625    |
|    volver    |                       muchas gracias                       |      make.v.02      |    0.0     |    0.0     |    1.0     |
