+--------------+-----------------------------------------------------+------------------------+------------+------------+------------+
|     Verb     |                       context                       |         synset         | Polarity + | Polarity - | Polarity = |
+--------------+-----------------------------------------------------+------------------------+------------+------------+------------+
|    hacer     |                      frío y ...                     |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    haber     |           ... y no hay ambientación de ...          |        be.v.03         |    0.0     |    0.0     |    1.0     |
|     sea      |               el hueco sea más pequeño              |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    hacer     |                    mucho frío ...                   |       make.v.03        |    0.0     |    0.0     |    1.0     |
|   cambiar    |                   almohadas y ...                   |      change.v.01       |    0.0     |    0.0     |    1.0     |
|   ensuciar   |           ... para no ensuciar el cabello           |      pollute.v.01      |    0.0     |    0.0     |    1.0     |
|    hacer     |            ... ambiente , hace mucho frío           |       make.v.03        |    0.0     |    0.0     |    1.0     |
|     sea      |           el horario sea más temprano ...           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    estar     |            ... am para estar un poco ...            |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   relajar    |                ... poco más relajado                |       relax.v.04       |    0.0     |   0.625    |   0.375    |
|     ser      |                único es que hace ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    hacer     |            ... es que hace mucho frío ...           |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    sentir    |                    la música ...                    |     perceive.v.01      |   0.375    |    0.0     |   0.625    |
|    poder     |           ... el masaje puede ser más ...           |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|     ser      |         ... masaje puede ser más fuerte ...         |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     ser      |            ... fuerte para ser excelente            |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    poner     |                 calefacción por ...                 |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    poner     |                   un radiador ...                   |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    emitir    |            ... algo que emita calor , ...           |       utter.v.02       |   0.125    |    0.0     |   0.875    |
