+--------------+----------------------------------------------------+---------------------+------------+------------+------------+
|     Verb     |                      context                       |        synset       | Polarity + | Polarity - | Polarity = |
+--------------+----------------------------------------------------+---------------------+------------+------------+------------+
|    decir     |        ... cuando nos dijeron que tenía ...        |      talk.v.02      |    0.0     |    0.0     |    1.0     |
|    tener     |     ... dijeron que tenía chicharrón tenía ...     |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|    tener     |    ... tenía chicharrón tenía media bandeja ...    |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|   mejorar    |         ... y limones mejorar tamaño y ...         |     better.v.02     |   0.375    |    0.0     |   0.625    |
|    vendar    |             vendan coca-cola light ...             |      dress.v.14     |    0.0     |    0.0     |    1.0     |
|    haber     |              han formado panales ...               |       be.v.03       |    0.0     |    0.0     |    1.0     |
|    formar    |             han formado panales en ...             |      form.v.02      |    0.0     |    0.0     |    1.0     |
|    entrar    |          ... las abejas entran por la ...          |     record.v.01     |    0.0     |    0.0     |    1.0     |
|   ajustar    |         ... ventana no ajusta queda un ...         |      befit.v.01     |   0.375    |    0.0     |   0.625    |
|    queda     |          ... no ajusta queda un hueco ...          |       own.v.01      |    0.0     |    0.0     |    1.0     |
|  funcionar   |            ... baño no funciona siempre            |    function.v.01    |    0.0     |    0.0     |    1.0     |
|  felicitar   |  ... cordiales los felicito y definitivamente ...  |  congratulate.v.02  |    0.0     |    0.0     |    1.0     |
|    volver    |           ... y definitivamente volveré            |      make.v.02      |    0.0     |    0.0     |    1.0     |
|    poner     |          huéspedes pusieron música en ...          |       put.v.01      |    0.0     |    0.0     |    1.0     |
|  incomodar   |     ... alto volumen incomodando los demás ...     |     perplex.v.01    |   0.125    |    0.25    |   0.625    |
|  solicitar   |                   cobijas en ...                   |   necessitate.v.01  |    0.25    |    0.25    |    0.5     |
|    negar     |                ... nos las negaron                 |     forbid.v.01     |    0.0     |    0.0     |    1.0     |
|     ser      |         ... del personal es muy bueno ...          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     ser      |         ... las mesas es algo demorado ...         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   demorar    |           ... es algo demorado y con ...           |    postpone.v.01    |    0.0     |    0.0     |    1.0     |
|     debe     |             ... la comida debe mejorar             |       owe.v.01      |    0.0     |    0.0     |    1.0     |
|   mejorar    |              ... comida debe mejorar               |     better.v.02     |   0.375    |    0.0     |   0.625    |
|     ser      |      ... del alojamiento es costoso para ...       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   unificar   |      ... discapacitada y unificar los dos ...      |       mix.v.05      |    0.0     |    0.0     |    1.0     |
|    servir    |     ... comida nos sirvieron comida vieja ...      |      serve.v.10     |    0.0     |    0.0     |    1.0     |
|     erar     |            ... que no eran comestibles             |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    gustar    |              me gustó el servicio ...              |     please.v.01     |   0.625    |    0.0     |   0.375    |
|  solicitar   |      ... varios ocasiones solicite cita y ...      |   necessitate.v.01  |    0.25    |    0.25    |    0.5     |
|      ir      |          ... y nunca fui atendida por ...          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   atender    |          ... nunca fui atendida por ellos          |      serve.v.10     |    0.0     |    0.0     |    1.0     |
|   incluir    |       ... tres comidas incluidas esta mejor        |     include.v.01    |    0.0     |    0.0     |    1.0     |
|  recomendar  |         ... no lo recomendamos es que ...          |    recommend.v.01   |    0.0     |   0.125    |   0.875    |
|     ser      |         ... lo recomendamos es que no ...          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   permitir   |       ... no nos permitieran ingresar al ...       |       let.v.01      |    0.0     |    0.0     |    1.0     |
|   ingresar   |      ... nos permitieran ingresar al spa ...       |     pull_in.v.03    |   0.125    |    0.0     |   0.875    |
|    seguir    |            sigan manejando precios ...             |      stay.v.01      |    0.0     |    0.0     |    1.0     |
|   manejar    |       sigan manejando precios accesibles ...       |     oversee.v.01    |    0.0     |    0.0     |    1.0     |
|  funcionar   |             funcionen los televisores              |    function.v.01    |    0.0     |    0.0     |    1.0     |
|    crear     |                 que necesitan ...                  |      find.v.05      |   0.125    |    0.0     |   0.875    |
|  necesitar   |          que necesitan opciones como ...           |   necessitate.v.01  |    0.25    |    0.25    |    0.5     |
|    poner     |        ... leche y poner mejor interés ...         |       put.v.01      |    0.0     |    0.0     |    1.0     |
|  satisfacer  |   ... interés en satisfacer las necesidades ...    |     satisfy.v.01    |    0.5     |    0.0     |    0.5     |
|    seguir    |           ... ya que sigo una dieta ...            |      stay.v.01      |    0.0     |    0.0     |    1.0     |
|    haber     |      ... free y hubo poca disponibilidad ...       |       be.v.03       |    0.0     |    0.0     |    1.0     |
|    llevar    |   ... disponibilidad para llevar mi régimen ...    |    transport.v.02   |    0.0     |    0.0     |    1.0     |
|    deber     |         ... el spa deben ser cambiadas ...         |       owe.v.01      |    0.0     |    0.0     |    1.0     |
|     ser      |      ... spa deben ser cambiadas después ...       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   cambiada   |       ... deben ser cambiadas después de ...       |     change.v.01     |    0.0     |    0.0     |    1.0     |
|    evitar    |    ... sección para evitar contaminación al ...    |     prevent.v.01    |    0.25    |    0.0     |    0.75    |
