+--------------+--------------------------------------------------------+---------------------+------------+------------+------------+
|     Verb     |                        context                         |        synset       | Polarity + | Polarity - | Polarity = |
+--------------+--------------------------------------------------------+---------------------+------------+------------+------------+
|     ser      |              atención es especial del ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      ir      |              ... de 2016 fue muy mala ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   saludar    |              ... , no saludan no dan ...               |      toast.v.02     |    0.0     |    0.0     |    1.0     |
|     dar      |        ... saludan no dan mucha información ...        |      give.v.10      |    0.0     |    0.0     |    1.0     |
|  justificar  |              ... no se justificó , la ...              |    apologize.v.02   |    0.0     |    0.0     |    1.0     |
|    estar     |             ... la bañera está mala no ...             |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    haber     |            ... mala no hay donde poner ...             |       be.v.03       |    0.0     |    0.0     |    1.0     |
|    poner     |            ... hay donde poner el jabón ...            |       put.v.01      |    0.0     |    0.0     |    1.0     |
|      ir      |              ... el desayuno fue pobre .               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      ir      |               desayuno fue huevo que ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    falta     |           ... huevo que falta de respeto ...           |      miss.v.06      |   0.125    |    0.0     |   0.875    |
|    poder     |             ... verdad no puede ver tv ...             |    displace.v.03    |    0.0     |    0.0     |    1.0     |
|     ver      |             ... no puede ver tv nadie ...              |    perceive.v.01    |   0.375    |    0.0     |   0.625    |
|   indicar    |          ... nadie me indicó como hacerlo ...          |    indicate.v.02    |    0.0     |    0.0     |    1.0     |
|    poder     |          ... y no pudimos almorzar nadie ...           |    displace.v.03    |    0.0     |    0.0     |    1.0     |
|   almorzar   |         ... no pudimos almorzar nadie dio ...          |      lunch.v.01     |    0.0     |    0.0     |    1.0     |
|     dar      |        ... almorzar nadie dio información , ...        |      give.v.10      |    0.0     |    0.0     |    1.0     |
|    estar     |      ... , todo está deteriorado desmejorado ...       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|  deteriorar  |     ... todo está deteriorado desmejorado feo ...      |      slip.v.04      |    0.0     |    0.5     |    0.5     |
|  desmejorar  |      ... está deteriorado desmejorado feo la ...       |      flaw.v.01      |    0.0     |    0.0     |    1.0     |
